price_rub,lat,lon,total_area_m2,rooms,floor_ratio,house_year,housing_market,property_format,source,address_exact,residential_complex
11748000.0,55.65955,37.28925,35.6,1.0,0.125,2025.0,new_building,flat,avito,"ул. верхне-пролетарская/сосновая, стр. 2",жк «союзный»
8500000.0,55.74785614,37.87275696,40.0,1.0,0.7777777777777778,1977.0,unknown,flat,avito,"московская обл., реутов, носовихинское ш., 18",unknown
7993978.0,55.94798,37.76817,32.5,1.0,0.17647058823529413,,new_building,flat,avito,"жилой комплекс мытищи парк, к6",жк «мытищи парк»
3850000.0,55.37414,36.726426,30.7,1.0,0.4,1966.0,unknown,flat,avito,"московская обл., наро-фоминский г.о., наро-фоминск, мкр-н южный, ул. ленина, 31",unknown
8320400.0,55.92311,37.77916,34.1,1.0,0.6190476190476191,,unknown,flat,avito,"мкр. 36, 36а, 37, стр. 5",жк «отрадный»
3450000.0,54.858082,38.523901,33.0,1.0,0.4,1986.0,unknown,flat,avito,"московская обл., г.о. коломна, озеры, 1-й мкр-н, 26",unknown
7650000.0,55.9423027,37.49621964,32.0,1.0,0.5555555555555556,,unknown,flat,avito,"московская обл., долгопрудный, спортивная ул., 7а",unknown
14868540.0,55.77277,37.20969,47.0,1.0,0.7777777777777778,,unknown,flat,avito,"ш. новорижское, жилой дом",жк «рига хиллс»
10500000.0,55.9060173,37.40446472,45.0,1.0,0.88,2014.0,unknown,flat,avito,"московская обл., химки, ул. родионова, 5",unknown
7839710.0,55.89181,37.30058,31.5,1.0,0.8888888888888888,,unknown,flat,avito,"п. светлые горы, стр. 5",лесная отрада
3500000.0,55.36618,39.01863,34.1,1.0,0.4,1990.0,unknown,flat,avito,"московская обл., егорьевск, сосновая ул., 10",unknown
5600000.0,55.904584,37.731955,31.5,1.0,0.2,1970.0,unknown,flat,avito,"московская обл., мытищи, ул. терешковой, 3а",unknown
11188000.0,55.62799,37.20621,36.1,1.0,0.5,,new_building,flat,avito,"д. солманово, ул. лазурная, стр. 1",жк «одинцовские кварталы»
6700000.0,56.00094604,37.85388184,36.7,1.0,0.8888888888888888,1984.0,unknown,flat,avito,"московская обл., г.о. пушкинский, пушкино, ул. 50 лет комсомола, 41",unknown
4593130.0,55.89999,37.2542,22.2,1.0,0.75,,new_building,flat,avito,"д. юрлово, д. 5",жк «большое юрлово»
6201600.0,55.72594,36.87172,40.8,1.0,0.16666666666666666,,new_building,flat,avito,"мкр. №2, корп. 1",жк «малиново»
